date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url
19-05-23,31,Normal,Feid,87,171880,album,15,14-09-22,TRUE,https://i.scdn.co/image/ab67616d0000b27373456ed697350847810e52b3
19-05-23,32,Te Escapas De Mis Brazos (Remix),ECKO & Callejero Fino & El Perro,78,217826,single,1,02-03-23,FALSE,https://i.scdn.co/image/ab67616d0000b2737ef4ee04cd88a4e05c08c99d
19-05-23,33,Marisola - Remix,Cris Mj & Duki & Nicki Nicole,87,237473,single,1,15-12-22,TRUE,https://i.scdn.co/image/ab67616d0000b27384abc8c6cf1e122113f7ab8b
19-05-23,34,CHORRITO PA LAS ANIMAS,Feid,91,168133,single,6,02-12-22,TRUE,https://i.scdn.co/image/ab67616d0000b2737cc7b0d6a82846cd8b158f99
19-05-23,35,La Bachata,Manuel Turizo,86,162637,album,15,17-03-23,FALSE,https://i.scdn.co/image/ab67616d0000b2734dd99565ae6453deab7c26e1
19-05-23,36,PUNTO G,Quevedo,86,151324,album,16,20-01-23,FALSE,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0
19-05-23,37,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,95,214945,single,1,11-01-23,FALSE,https://i.scdn.co/image/ab67616d0000b2732b6d78c5a3f6247aa997b812
19-05-23,38,Milagrosa,Milo j,82,140288,single,1,16-08-22,TRUE,https://i.scdn.co/image/ab67616d0000b27330e4bbfecc4cfa5b5d6cc14d
19-05-23,39,ARRANCARMELO,WOS,80,183547,single,1,06-04-22,FALSE,https://i.scdn.co/image/ab67616d0000b273d8c9945c63f1806031dae6f0
19-05-23,40,aPoLLo13,Duki,78,160547,single,1,03-05-23,TRUE,https://i.scdn.co/image/ab67616d0000b2736ec15769b079e2848fe92302
19-05-23,41,Niña Bonita,Feid & Sean Paul,88,187653,single,1,21-04-23,FALSE,https://i.scdn.co/image/ab67616d0000b27347b049fcbcc571271cc88d9f
19-05-23,42,qué le pasa conmigo?,Nicki Nicole & Rels B,84,167251,single,1,19-04-23,FALSE,https://i.scdn.co/image/ab67616d0000b273878213cd3e852b72b1cf7598
19-05-23,43,Coco Chanel,Eladio Carrion,92,208125,album,18,17-03-23,TRUE,https://i.scdn.co/image/ab67616d0000b273fc8563c0dc75d79e73c2dca0
19-05-23,44,Azote - Remix,Lolo OG & Callejero Fino & Alejo Isakk,75,226821,single,1,08-03-23,TRUE,https://i.scdn.co/image/ab67616d0000b2736a986d01f25447772d7f5dee
19-05-23,45,Vida Gangster,Lauty Gram,81,170058,single,1,08-12-22,TRUE,https://i.scdn.co/image/ab67616d0000b2735880b7d07ee4a577e0f6ffd7
19-05-23,46,Uno los Dos,Miranda!,69,215248,album,11,19-04-23,FALSE,https://i.scdn.co/image/ab67616d0000b2730040ea3fe369688ad9757cf2
19-05-23,47,Lisa,Young Miko,86,159306,single,1,03-03-23,TRUE,https://i.scdn.co/image/ab67616d0000b2731fcf8dc413896f0fb5749141
19-05-23,48,PLAYA DEL INGLÉS,Quevedo,84,237525,album,16,20-01-23,FALSE,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0
19-05-23,49,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,93,198937,single,1,06-07-22,FALSE,https://i.scdn.co/image/ab67616d0000b2731630dd349221a35ce03a0ccf
19-05-23,50,MORNING,Milo j,79,123525,single,1,23-02-23,FALSE,https://i.scdn.co/image/ab67616d0000b2732f1f92133b5800ff78e721d6
20-05-23,1,Un Finde | CROSSOVER #2,Big One & FMK & Ke Personajes,89,162500,single,1,04-04-23,FALSE,https://i.scdn.co/image/ab67616d0000b273fc9ce77ab8fcd9eadda3acd3
